book_id,author
0,Джоан Роулинг
1,Стивен Кинг
2,Маргарет Митчелл
3,Артур Конан Дойл
4,Нора Сакавич
5,Кэтрин Стокетт
6,Джон Р. Р. Толкиен
7,Александр Дюма
8,Мишель Пейвер
9,Джордж Мартин
10,Джонатан Страуд
11,Ли Бардуго
12,Марио Пьюзо
13,Фредрик Бакман
14,Джеймс Хэрриот
15,Людмила Петрановская
16,Агата Кристи
17,Дэниел Киз
18,Михаил Булгаков
19,Мосян Тунсю
20,Робин Хобб
21,Стивен Кинг
22,Робин Хобб
23,Ирвинг Стоун
24,Халед Хоссейни
25,Евгения Гинзбург
26,Илья Ильф
26,Евгений Петров
27,Харпер Ли
28,Эрих Мария Ремарк
29,Маркус Зусак
30,Наталья Щерба
31,Виктор Гюго
32,Михаил Булгаков
33,Эрих Мария Ремарк
34,Вениамин Каверин
35,Макс Фрай
36,Артур Конан Дойл
37,Анджей Сапковский
38,Астрид Линдгрен
39,Эдит Ева Эгер
40,Алан Мур
40,Дэйв Гиббонс
41,Гавриил Троепольский
42,Светлана Алексиевич
43,Джек Лондон
44,Борис Акунин
45,Леонид Филатов
46,Сара Дж. Маас
47,О. Генри 
48,Мари-Од Мюрай
49,Джек Лондон
50,Агата Кристи
51,Стивен Кинг
52,Алексей Пехов
53,Арчибальд Кронин
54,Александр Волков
55,Сара Дж. Маас
56,Макс Фрай
57,Ольга Громыко
58,Антуан де Сент-Экзюпери
59,Холли Блэк
60,Джейн Остин
61,Джо Аберкромби
62,Арчибалд Кронин
63,Халед Хоссейни
64,Макс Фрай
65,Туве Янссон
66,Жюль Верн
67,Элинор Портер
68,Терри Пратчетт
69,Фёдор Достоевский
70,Джон Стейнбек
71,Диана Уинн Джонс
72,Борис Полевой
73,Анна Джейн
74,Наринэ Абгарян
75,Брендон Сандерсон
76,Эдуард Успенский
77,Наринэ Абгарян
78,Мария Парр
79,Кир Булычёв
80,Джордж Оруэлл
81,Рик Риордан
82,Наринэ Абгарян
83,Колин Маккалоу
84,Макс Фрай
85,Мосян Тунсю
86,Ольга Громыко
87,Виктор Драгунский
88,Астрид Линдгрен
89,Ирвин Шоу
90,Рэй Брэдбери
91,Чарльз Диккенс
92,Кристель Дабо
93,Роберт Гэлбрейт
94,Валентина Осеева
95,Анджела Нанетти
96,Аннетт Мари
97,Анджей Сапковский
98,Мосян Тунсю
